# Folkets lexikon sv→en (CC BY-SA 2.5)
# 36329 entries from folkets-lexikon.csc.kth.se
-procentig	per cent
akrylfärg	acrylic paint
akrylsyra	acrylic acid
akt	act, attention, ceremony, document
akta	be careful with, guard, protect, take care of
akta sig	be careful, take care
akter	stern
akterifrån	from astern
aktersalong	aftercabin
akter|seglad	left behind (astern)
aktie	share, (stock [US])
aktiebrev	Proprietary, stock certificates
aktieförsäljning	stock offering, trade of stocks
aktiemäklare	broker
aktie|bolag	(corporation [US]), joint-stock company
aktieägare	shareholder, shareowner, stock holder
aktion	action, campaign, drive
aktionsgrupp	task-force
aktiv	active
aktivera	activate, make active
aktivism	activism
aktivismen	activism
aktivist	activist
aktivister	activists
aktivitet	activity
aktivitetsträning	prequel
aktivt	active
aktning	esteem, respect
aktris	actress
aktsam	careful, cautious, prudent
aktsamt	careful
aktualisera	bring to the fore, make topical, update
aktualisering	update
aktualitet	current (immediate) interest (importance), topicality
aktuarie	actuary
aktuell	current, of current (immediate) interest (importance), topical
aktuellt	Aktuellt, the News
aktör	actor, operator, participant, player
aktörer	actors, operators, players
akupunktur	acupuncture
akupunkturnål	acupuncture needle, acupuntureneedle
akustik	acoustics
akustikplatta	Acoustic board
akustisk	acoustic
akut	acute, immediate
akut, snarast, omedelbart	urgently
akuten	&quot;casualties&quot;, emergency ward
akutfall	emergency, emergency case
akuttjänst	emergency service
akut|mottagning	emergency (casualty) ward (department)
akvarell	watercolour (painting)
akvarieväxt	aquarium plant
akvarium	aquarium
akvedukt	aqueduct
al	alder
alabaster	alabaster
aladåb	aspic
alarm	allert
alarmanordning	alarm device
alarmerande	alarming, frightening
alarmering	alarming
alarmeringscentral	alarm center
alarmklocka	alarm clock, alarm watch, alarmwatch
alarmknapp	alarm button
alarmsystem	alarm system
alban	Albanian
albansk	Albanian
albinism	albinism
albino	albino
album	album
aldrig	never
alert	alert
alfa	Alpha
alfabet	alphabet
alfabetisera	alphabetise, make (someone) literate, teach literacy
alfabetisk	alphabetical
alg	alga
algblomning	algae bloom
alger	algea
algerier	Algerian
algerisk	Algerian
algoritm	algorithm
alias	alias
alibi	alibi
alibikontroll	alibi check, control of alibi
alienation	alienation
alienerad	alienated
alika	jackdaw
alimentär	heatsink
alkaisk	alcaic, alkaline
alkalisalt	alkali salt, alkaline salt, diciplinerad
alkatras	distapon, stair
alkemi	alchemy
alkemister	alchemist
alkemistisk	alchemical
alkohol	alcohol
alkoholdryck	alcholic beverage, alcoholic beverage, alcoholic bewerage
alkoholförgiftning	alcohol poisoning
alkoholhaltig	alcoholic
alkoholiserad	alcoholized
alkoholism	alcoholism
alkoholist	alcoholic
alkoholistanstalt	alcohol rehabilitation center
alkoholmängder	amounts of alcohol
alkoholnivå	alcohol level, blood alcohol level, blood-alchohol level
alkoholrelaterade	alcohol-related
alkoholstyrka	alcohol strength
alkoholtest	alcohol tests
alkoholvanor	alcohol-use habits, drinking habits
alkohol|poliklinik	alcohol addiction clinic
alkoläsk	alcopops
alkov	alcove
alko|test	breathalyser test
all	all
all right	all right
all round	all round
alla	everyone, all, everybody
alldaglig	everyday, ordinary, trite
alldeles	absolutely, altogether, perfectly, quite
allegori	allegory
allegorisk	allegorical
allehanda	a variety of, of all sorts (kinds)
allemans|rätt	right of common access
allena	alone
allena|rådande	in sole control, universally prevailing
allergen	allergens
allergena	allergenic
allergi	allergy
allergidrabbad	alergic, allergic
allergiframkallande	allergenic
allergiker	allergy-sufferers
allergisjuk	allergi, allergic
allergisjukdom	allergic illness
allergisk	allergic
allesamman(s)	all of us, everyone, one and all
allestädes	everywhere
allhelgonahelgen	All Saints (public holiday)
allhärskande	all ruling, almighty, omnipotent
allians	alliance
alliansavtal	alliance agreement
allianser	alliances
alliansfrihet	non-alignment
allians|fri	non-aligned
allierad	allied
allihop	everybody
allihop(a)	all, one and all
allmoge	country people, countryfolk
allmosa	alms
allmän	common, general, public, vague
allmän advokatbyrå	public law office
allmän försäkring	social insurance (scheme)
allmän rättshjälp	legal aid (scheme)
allmän röstlängd	electoral register
allmän tilläggspension	supplementary pension [under the ATP scheme]
allmänhet	the (general) public
allmänna arvsfonden	the (Swedish) State Inheritance Fund
allmänna försäkringskassan	The Social Insurance Office
allmänna reklamationsnämnden	The National Board for Consumer Complaints
allmänning	common land
allmänpolitisk	common policy
allmänt	generally
allmänvård	general care
allmän|bildad	well-informed, well-read, with a good all-round education
allmän|bildning	all-round education, general knowledge
allmän|farlig	constituting a public danger, dangerous
allmän|giltig	generally applicable, universal
allmän|gods	public property
allmän|nyttig	for the benefit of everyone, for the public (common, general) good
allomfattande	all inclusive, inclusive
allopatin	allopathic
allra	of all
allround	all-round
alls	at all
allsköns	all manner (kinds, sorts) of, sundry
allsmäktig	almighty, all-powerful, omnipotent
allsmäktighet	almightiness, almighty
allsvensk	belonging to the Premier Division
allsvenskan	the Premier Division
allt	&quot;to an increasing degree&quot;, all 1, certainly, probably, the universe, the world
allteftersom	as, gradually, little by little
alltför	all too, far (altogether) too, too
alltiallo	factotum
alltid	always, anyway
alltifrån	ever since, from
alltigenom	throughout
alltihop	everybody, everyone, everything
alltihop(a)	all, everything, the whole lot
allting	everything
alltjämt	constantly, still
alltmedan	LEESSE, meanwhile, in the meantime
alltmer	more and more, moreover
alltmer(a)	increasingly, more and more
alltmera	brag, increasingly, pram
alltnog	in short, anyhow
alltsamman	all in all
alltsamman(s)	all, all of them (it)
alltsedan	ever since
alltså	accordingly, consequently, in other words, that is to say, therefore, thus
allvar	seriousness
allvarlig	earnest, serious, serious, grave, solemn
allvarligt	serious
allvarstyngd	blad, serious, serious downpushed, seriousness
all|sidig	all-round, comprehensive
all|sång	community singing, sing-along, singsong
allé	avenue
alléträd	avenue tree
alm	elm
almanacka	almanac, calendar, diary
alperna	the Alps
alpin	alpine, Alpine
alpinist	mountaineer
alplandskap	alpine landscape
alster	product
alstra	bring forth, generate, procreate, produce
alt	alto, contralto
altan	(roof) terrace, balcony
altarbord	altar, altar table, communion table
altare	altar
altarskåp	altarcabinet
alter ego	alter ago
alternativ	alternative
alternativt	alternatively, or
alternera	alternate
alternerandet	alternating
altruist	altruist
altstämma	alto
aluminium	(aluminum [US]), aluminium
aluminiumkärl	aluminium bowl
aluminiumplåt	Aluminum plate /Aluminum sheet
amalgam	amalgam
amason	amazon, Amazon
amatör	amateur
amatörbestämmelse	amateur judgement
amatörboxare	amateur boxer, amateurboxer
amatörfoto	amateur photos
amatörfotograf	amateur photographer, amature fotografer
amatöridrottsman	GARANTI, amature athlete
amatörskådespelare	amateur actor, amateur actress or actor
ambassad	embassy
ambassadsekreterare	embassysecretary
ambassadör	ambassador
ambassadörspost	ambassador&#39;s post
ambition	ambition
ambitionsgrad	level of ambition
ambitionsnivå	ambition level
ambitiös	ambitious
ambitiöst	ambitious
ambivalent	ambivalent
ambulans	ambulance
ambulansfärd	ambulance  transport, ambulance ride
ambulansförare	ambulance drivers
ambulansman	ambulance personnel, paramedic
ambulanspersonal	paramedic
ambulansutryckning	ambulance emergency
ambulera	ambulate, move from place to place, walk about
amen	amen
amerika	america
amerikafeber	America fever, American fever
amerikan	American
amerikanare	(large) American car, American
amerikanisera	americanise
amerikanisering	americanization
amerikanism	Americanism
amerikansk	American
amerikanskägt	american-owned
amfetamin	amphetamine
amfibiebil	amphibious car, amphibious vehicle/car
amfiteater	amphitheatre
aminosyra	amino acid
aminosyror	amino acid, amino acids
amiral	admiral
amma	breastfeed, nurse (at the breast), suckle, wet-nurse
ammande	breast-feeding
ammoniumnitrat	Ammonium Nitrate, ammoniumnitrade, ammoniumnitrate
ammunition	ammunition
amnesti	amnesty
amnesty international	Amnesty International
amning	breast-feeding, nursing
amok	amok, amuck
amoralisk	amoral
amortera	amortize, pay off (by instalments)
amortering	repayment by instalments, amortization; payment, instalment
ampel	hanging flowerpot (lamp), profuse, unstinted
amper	bitter
ampere	ampere
ampull	(capped) phial, ampoule
amputationer	amputations
amputera	amputate
amputerats	amputated
amputering	amputation
ams	AMS
amu	AMU
amu-center	AMU Centre
amulett	amulet
ana	believe, have a feeling (idea), imagine, suspect
anabol	anabolic
anakronism	anachronism
analfabet	illiterate
analfabetisk	Analfabetic
analog	analogous (to), analogue, (analog [US])
analoga	analog, analogous, analogue, analouge, arithmetic combination, monitor, snuggle
analogi	analogy
analogt	analog
analys	analysis
analysera	(analyze [US]), analyse
analysering	analysing, study
analyseringsmetod	analysis methodology
analysmetod	analysis method
analysmodell	analytical model
analytiker	Analyst
analytisk	analytic, analytical
anal|öppning	anus, anal (rectal) orifice (opening)
anamma	accept, damn, receive, take
anamnes	anamnesis, case history
ananas	pineapple
anarki	anarchy
anarkism	anarchism
anarkist	anarchist
anarkistisk	anarchistic
anatomi	anatomy
anbefalla	charge, enjoin, order, recommend
anblick	appearance, sight
anbringa	apply, fit, fix, place
anbringas, tillämpas	applying
anbud	bid, offer, tender
anbudsgivare	bidder
anbudspris	quotation, bid
and	(wild) duck
anda	atmosphere, breath, spirit
andakt	devotion(s), worship
andaktsbok	devotional book; prayer book, prayer book
andalusien	andalucia
andan	breath
andas	breathe, exude, hint at, indicate, respire, speak of, suggest
andas ut	exhale
ande	spirit
andel	interest in, participation, proportion, share
andelar	units
andels|lägenhet	condominium (flat, apartment)
andemening	essence, inward sense, spirit
anderna	Andes
andetag	breath
andeutdrivare	exorcist
andeutdrivning	exorcism
andeväsen	spirits
ande|dräkt	breath
andfådd	breathless, out of breath, puffed out
andfåddhet	breathlessness
andlig	holy, religious, spiritual
andning	breathing, respiration
andnings|organ	respiratory organ
andra	advance, other, present, put forward, second, set forth
andrahandsvaror	second-hand
andrahands|affär	second-hand shop
andrahands|lägenhet	a sublet (flat etc.)
andrahands|värde	second-hand value, trade-in value
andraklassbiljett	second class ticket
andras	others
andraupplaga	second edition
andrepilot	co-pilot, copilot
androgyn	androgynous
andrum	breathing space
andtruten	out of breath
and|hämtning	breathing, respiration
and|lös	breathless, breathtaking
and|nöd	dyspnoea, shortness of breath
anekdot	anecdote
anekdotartad	fabling
anemi	(anemia [US]), anaemia
anestesi	(anesthesia [US]), anaesthesia
anfader	ancestor, forefather
anfall	attack, fit
anfalla	assail, assault, attack
anfallare	striker
anfallsstyrka	attack force
anfang	initial (letter)
anfrätt	corroded, eroded
anfrätte	corroded
anfäkta	harass, worry
anföll	attacked
anföra	adduce, bring forward; name, quote, cite, command, lead
anförande	address, speech
anföring	quotation
anförtro	confide, entrust
anförtroende	entrustment, rely on, trust
anförvant	relation, relative
ang	ref.
angav	mentioned, stated
ange	give (lay) information, indicate, mention, report, state
angelägen	anxious, eager, important, pressing, urgent
angelägenhet	affair, concern, matter
angenäm	agreeable, pleasant, pleasurable
angenämt	comfortable, pleasant, plesant
angett	stated, indicated, mentioned; reported
angick	concerned
angiven	indicated, mentioned, reported, stated
anglomani	anglomania
anglosaxare	Anglosaxian, anglo-saxians
angrep	attacked
angrepp	attack
angreppsplan	Plan of attack
angreppssätt	approach
angripa	attack
angriparen	attacker
angränsande	adjacent, adjoining
angå	concern, have reference to
angående	concerning, respecting
angöra	call at, make land, tie up, touch
angöring	landing, next of kin
anhalt	halt
anhopning	accumulation, piling up
anhängare	follower, supporter
anhålla	apply for, ask, request, take into custody, arrest, apprehend, detain
anhållan	request
anhållande	apprehension, arrest
anhöll	applied for, apprehended, arrested, asked, detained, requested, took into custody
anhörig	relation, relative
animalisk	animal
animaliskt	animal like, animalic
animerad	animated, lively
aning	hint, idea, notion, presentiment, suspicion, touch, trace
aningslös	naive, unsuspecting
anis	aniseed
anislikör	anise liqueur
anka	canard, duck
ankar	anchor
ankare	anchor
ankel	ankle
anklaga	accuse
anklagad	accused, acused
anklagelse	accusation, charge
anklang	approval
ankn	connection
anknyta	connect, unite, link
anknytning	attachment, connection
anknytningsnummer	trunk code
anknytnings|fall	next-of-kin (family ties) case
ankomma	arrive, be due, be up to, depend on
ankommen	arrived
ankomst	arrival
ankomstdag	arrival day, date of arrival, day of arrival
ankomstdatum	arrival date
ankomstplats	arrival place, place of arrival
ankomsttid	Arrival time, Time of arrival
ankra	anchor
ankring	anchorage, bryta
ank|damm	parish pump
anlag	ability, capacity, predisposition, tendency
anledning	cause, ground, reason
anlete	countenance, face, visage
anlita	engage
anlägga	build, construct, erect
anläggning	building, construction
anläggningsarbete	road works, site works
anlända	arrive, reach
anlöp	arrive
anlöpa	call at, put in at
anmana	request, urge
anmoda	call upon, order, request
anmodan	invitation, order, request
anmäla	report, announce, notify, give notice of, review
anmälan	announcement, report
anmäler	report, review
anmälning	announcement, notification, report
anmärka	criticize, find fault, observe, remark
anmärkning	complaint, criticism, observation, remark
anmärknings|värd	notable, remarkable, striking
annalkande	approach, approaching, drawing near (close)
annan	another, other
annandag	Boxing Day, Easter Monday, Whit Monday
annanstans	elsewhere
annars	else, otherwise
annat	another, something else, something else
annektera	annex(e)
annex	wing
annons	ad, advert, advertisement
annonsagent	news agent
annonsera	advertise; announce
annonstavla	notice board
annonsör	advertiser, advertiser (singular), announcer
annonsörer	advertisers
annorlunda	different, differently, otherwise
annorstädes	elsewhere
annuitetslån	annuity loan
annullera	annul, cancel
anonym	anonymous
anonymisering	anonymization
anonymitetsskydd	uppercase letter
anor	ancestry, lineage
anorak	anorak
anordna	arrange, organize
anordning	Facility, appliance, arrangement, device
anorexi	anorexia
anpassa	adapt, adjust, suit
anpassad	adapded, adapted, adjusted, customized, tailor-made
anpasslig	adaptable, adjustable
anpasslighet	customization
anpassning	adaptation, adjustment
anpassningsbar	adaptable, adaptable, customizable, customisable
anpassningsproblem	adjustment problems
anpassningsprocesserna	processes of adjustment, readaptation processes
anpassnings|bidrag	housing adjustment grant
anpassnings|grupp	adjustment group team
anrik	of distinguished heritage, traditional
anrika	concentrate, enrich
anropa	call
anropsfrekvens	bulk, calling frequency, concour, thank you, virtuell
anropssignal	callsign
anrätta	cook, prepare
anrättning	dish, preparation
ansa	tend, see to
ansamling	accumulation
ansats	approach, run-up
anse	consider, regard
ansedd	esteemed, respected
anseende	esteem, reputation, respect, standing
ansenlig	appreciable, considerable
ansikte	face
ansiktsförlamning	facial paralysis
ansiktskräm	face cream, facecream, moisturizer
ansiktslösa	faceless
ansiktsmuskel	cornich, facial muscles
ansiktsvatten	aftershave, facial lotion
ansikts|lyftning	face lift
ansjovis	tinned sprats cured in brine
anskaffa	obtain, acquire, get
anskaffande	acquisitioin
anskaffbar	obtainable
anskrämlig	ugly, ghastly, hideous
anslag	bill, grant, subvention, allowance, appropriation, notice, poster, stroke, touch
anslagshöjning	grant increase
ansluta	connect
ansluten	connected
anslutning	association, connection
anslutningsavgift	connection fee
anslutningsbuss	connecting bus
anslå	allot, assign, earmark, grant, post, put up, set aside, strike
anspela	allude to, hint at
anspråk	claim, demand, pretension, requirement
anspråkslös	humble, modest, unassuming
anspänna	strain, tensing
anstalt	establishment, home, institution
anstifta	cause, provoke, incite, instigate
anstormning	assault, onrush
anstrykningar	glyphosate
anstränga	exert, strain
ansträngd	tense
ansträngdhet	tiredness
ansträngning	effort, exertion
anställa	(hire [US]), employ, engage, take on
anställd	employed
anställda	emloyees, emploied, employed, employee, employees
anställning	employment, job, position, post, situation
anställningar	Employment
anställningsförhållande	employment situation
anställningskontrakt	employment contract
anställningsstopp	hiring freeze
anställningstrygghet	job security
anställnings|skydd	job (employment) security
anställningsår	Year of employment, employment year
anständig	decent, respectable
anständigt	decent
anstå	be deferred, befit, postpone, wait
anstånd	deferment, respite
anståndstid	grace period
anstöt	offence
anstötlig	objectionable, offensive
ansvar	liability, responsibility
ansvara	be responsible (answerable, liable)
ansvarig	answerable, liable, responsible
ansvarsbegränsningen	limitation of liability
ansvarsfull	responsible
ansvarsfullt	responsible, responsibly
ansvarsfylld	responsibility, responsible
ansvarsförsäkring	liability insurance
ansvarslös	irresponsible
ansvarslöshet	lack of responsibility
ansvarsmedveten	responsible
ansvarsområde	responsibility
ansvars|frihet	freedom from responsibility (liability)
ansätta	beset, press
ansåg	considered, regarded
ansök	Apply
ansöka	apply for
ansökan	application
ansökning	application
anta	accept, admit, adopt, appoint, assume, embrace, engage, presume, suppose
antagande	assumption, supposition
antagande|poäng	qualifying point
antagen	approved
antagit	accepted, admitted, assumed
antaglig	presumable, presumable, presumably, probable
antagligen	presumably, probably
antaglighet, rimlighet	plausibility, probability
antagningsbrev	letter of admission
antagonist	antagonist
antal	number, quantity
antarktis	antarctica
antasta	molest
anteckna	make a note of, note, record
anteckning	note
anteckningslista	check list, note list, notelist, notes list
antenn	(antenna [US]), aerial
antenner	antennas
antennfäste	antenna hold
anti-	anti-
anti-aidsprogram	anti-aids program
anti-apartheidrörelsen	anti-aparthei movement
anti-europeisk	RHD, anti-European, anti-europe
anti-inflationspolitiken	anti-inflation policy
antiabortlagar	anti-abortion laws
antiamerikanism	anti-americanism
antiamerikansk	anti-american
antiamerikanska	anti-american
antibiotika	antibiotics
antidemokrater	anti-democrats, antidemocrats, met up
antidemokratiska	antidemocratic
antidemokratiskt	antidemocratic
antifacklig	anti-union
antifascistisk	anti-fascist, långt
antihistamin	antihistamine
antiimperialistiska	anti-imperialist
antiislamistiska	anti-islamic
antik	antique
antikaffär	antique shop
antiken	antiquity
antikolonialism	anticolonialism
antikommersiell	anti-commercial
antikommunist	anti-communist, anticommunist
antikonst	anti-art
antikrigsrörelsen	anti-war movement
antikvariat	second-hand bookshop
antikverad	antiquated, outmoded
antikvitet	antique
antikvitetsaffär	antique shop
antikvitetshandel	antique shop
antikvitetshandlare	antiquarian, antique dealers
antikärnvapenrörelse	Anti-nuclear weapons movement
antillerna	Antilles
antimikrobiella	antimicrobial
antimuslimska	anti-muslim
antingen	either, whether
antioxidanter	anti-oxidants, antioxidants
antirasist	anti-racist, anti-racists
antirasistiska	antiracist
antirasistiskt	antiracist
antirysk	anti-russian, antirussian, antisoviet
antirökkampanj	anti-smoking campaign
antisemiter	anti-semite
antislaveriaktivisterna	anti-slavery activists
antitobakspolitik	anti-tobacco policy, anti-tobacco politics
anti|hjälte	antihero
anti|klimax	anticlimax
anti|kropp	antibody
anti|semit	anti-Semite
anti|septisk	antiseptic
antog	accepted, admitted, assumed
antologi	anthology
antropogena	anthropogenic
antropologi	anthropology
antropologisk	anthropological
antroposofin	antroposophy
anträffa	find, meet with
anträffbar	available
antyda	hint, indicate, intimate, suggest
antydan	hint, indication, intimation, suggestion
antydning	insinuation
antydningar	assumings, conversion, hints, implications, insinuation, insinuations, nocturnal
antända	ignite, set fire to
antändbar	flammable, ignitable
antändbara	flammable
antändbarhet	ignitability
antågande	approaching, drawing close
anvisa	allot, assign; earmark, appropriate [funds, etc.]
anvisning	direction, directive, instruction, order, recommendation, remittance
använd	use
använda	carry, employ, use, utilize, wear
användande	usage, usage, use, use, using
användare	user
användarkrav	user demand
användarnamn	user name
användarvänlig	user friendly
användbar	useful
användning	employment, usage, use
användningsområde	applications, possible use, usage
an|fordran	demand, request
aorta	aorta
aostadalen	Aosta Valley
ap-fonden	the Pension Insurance Fund
apa	ape, monkey
apa efter	copy, imitate, mimic
apanage	appanage
apart	eccentric, odd, queer
apartheid	apartheid
apartheidregim	apartheid regime
apartheidregimen	apartheid regime, apartheit regime
apati	apathy
apatisk	apathetic
apekatt	deviance
apelsin	orange
apelsinklyfta	orange wedge
apelsinkärna	orange seed
apelsinträd	orange tree
aperitif	aperitif
apokalyptisk	apocalyptic
apollonisk	apollonian
apostel	apostle
apostrof	apostrophe
apotek	(drugstore [US]), chemist&#39;s, pharmacy
apotekare	Pharmacists, farmaceut
apotekaren	farmecist, the chemist
apoteksvara	pharmacy ware
app	app, application
apparat	apparatus, appliance, device, machine
apparatur	apparatus, equipment
appell	appeal, call
appellera	appeal
appendicit	appendicitis
appendix	appendix
applicera	apply, bring to bear
applikation	application, appliqué
applåd	applause
applådera	applaud, clap
apport	fetch, fetch (it)
apportera	fetch
approach	approach
approximation	approximation, approximering, uppskattning
approximativ	approximative, approximatly
aprikos	apricot
aprikosfärgad	apricot coloured
aprikosmarmelad	apricot jam
april	April
april|väder	April weather
apropå	apropos of, concerning
apropå, i förbigående	by the by
aptera	adapt, adjust, arm, prime
aptit	appetite
aptitlig	appetizing
aptitretare	appetizers
arab	Arab, Arabian
arabförbundet	the Arab League, the League of Arab States
arabiska	Arabic
arameiska	armenian
arbeta	(labor [US]), labour, work
arbeta in	knead, work extra hours (overtime), work in
arbeta över	put in extra hours, work overtime
arbetande	working
arbetare	(laborer [US]), (manual) labourer, worker, workman
arbetarfientliga	anti-labour
arbetarhustru	worker&#39;s wife, workers wife, working wife
arbetarledare	foreman
arbetarområden	working-class areas
arbetarregering	Labor government, labour government
arbetarskyddsnämnden	The Joint Occupational Safety Council
arbetar|kommun	local branch of the (Swedish) Social Democratic Party
arbetar|rörelse	the Labour Movement, working-class movement
arbetar|skydd	industrial welfare (safety)
arbete	(piece of) work, work, work, job, employment, occupation
arbeterska	worker, worker (female)
arbetet	the work
arbetsam	difficult, diligent, hard-working, industrious, laborious, strenuous
arbetsbelastning	workload
arbetsbesparande	labour-saving
arbetsbok	Workbook
arbetsbord	desk
arbetsbänk	workbench
arbetsdag	work day, working day
arbetsdomstolen	the Labour Market Court
arbetsflöde	workflow
arbetsforum	work forum
arbetsfri	work free
arbetsfördelning	Te, division of labor
arbetsförmedlare	employment agency, employment counsellor, work agency
arbetsgivarverket	the Natioal Agency for Government Employers
arbetsgivar|avgift	employer&#39;s contribution, employment (payroll) tax
arbetsinkomst	salary
arbetsinsats	work effort
arbetsintensitet	work intensity
arbetsintensiva	labour-intensive
arbetskostnad	labour cost, work costs
arbetskraftskostnad	labor-cost, labour cost, nettle, work power cost
arbetslag	team
arbetslivs|erfarenhet	job (work) experience
arbetsläger	Labor camp
arbetslön	salary
arbetslös	jobless, out of work, unemployed
arbetslöshetsersättning	unemployment benefit
arbetslöshetsunderstöd	unemployment benefit
